Source,Target,Type,Id,Label,Weight
1,2,Directed,113991,,1
1,3,Directed,113992,,1
1,4,Directed,113993,,1
1,5,Directed,113994,,1
1,6,Directed,113995,,1
1,7,Directed,113996,,1
1,8,Directed,113997,,1
1,9,Directed,113998,,1
1,10,Directed,113999,,1
1,11,Directed,114000,,1
1,12,Directed,114001,,1
1,13,Directed,114002,,1
1,14,Directed,114003,,1
1,15,Directed,114004,,1
1,16,Directed,114005,,1
1,17,Directed,114006,,1
1,18,Directed,114007,,1
1,19,Directed,114008,,1
1,20,Directed,114009,,1
1,21,Directed,114010,,1
1,22,Directed,114011,,1
1,23,Directed,114012,,1
1,24,Directed,114013,,1
1,25,Directed,114014,,1
1,26,Directed,114015,,1
1,27,Directed,114016,,1
1,28,Directed,114017,,1
1,29,Directed,114018,,1
1,30,Directed,114019,,1
1,31,Directed,114020,,1
1,32,Directed,114021,,1
1,33,Directed,114022,,1
1,34,Directed,114023,,1
1,35,Directed,114024,,1
1,36,Directed,114025,,1
1,37,Directed,114026,,1
1,38,Directed,114027,,1
1,39,Directed,114028,,1
1,40,Directed,114029,,1
1,41,Directed,114030,,1
1,42,Directed,114031,,1
1,43,Directed,114032,,1
1,44,Directed,114033,,1
1,45,Directed,114034,,1
1,46,Directed,114035,,1
1,47,Directed,114036,,1
1,48,Directed,114037,,1
1,49,Directed,114038,,1
1,50,Directed,114039,,1
1,51,Directed,114040,,1
1,52,Directed,114041,,1
1,53,Directed,114042,,1
1,54,Directed,114043,,1
1,55,Directed,114044,,1
1,56,Directed,114045,,1
1,57,Directed,114046,,1
1,58,Directed,114047,,1
1,59,Directed,114048,,1
1,60,Directed,114049,,1
1,61,Directed,114050,,1
1,62,Directed,114051,,1
1,63,Directed,114052,,1
1,64,Directed,114053,,1
1,65,Directed,114054,,1
1,66,Directed,114055,,1
1,67,Directed,114056,,1
1,68,Directed,114057,,1
1,69,Directed,114058,,1
1,70,Directed,114059,,1
1,71,Directed,114060,,1
1,72,Directed,114061,,1
1,73,Directed,114062,,1
1,74,Directed,114063,,1
