Id,Label,Group,Attribute
1,Fentanyl,link,0
2,World_Health_Organization,link,0
3,Paregoric,link,0
4,Diacetylnalorphine,link,0
5,18-Methoxycoronaridine,link,0
6,LY-2196044,link,0
7,Desomorphine,link,0
8,Acemetacin,link,0
9,Glafenine,link,0
10,Xorphanol,link,0
11,Excretion,link,0
12,17%CE%B1-Hydroxyprogesterone,link,0
13,WHO_Model_List_of_Essential_Medicines,link,0
14,Co-dydramol,link,0
15,Heroin,link,0
16,Propyphenazone/paracetamol/caffeine,link,0
17,Alpha-Lipoic_acid,link,0
18,New_Jersey,link,0
19,Nimesulide,link,0
20,Mifepristone,link,0
21,"J-113,397",link,0
22,Hyperforin,link,0
23,Pregnenolone_16%CE%B1-carbonitrile,link,0
24,Phenylpiperidine,link,0
25,Ro65-6570,link,0
26,Ethylene,link,0
27,United_Nations_Office_on_Drugs_and_Crime,link,0
28,Dimethylaminopivalophenone,link,0
29,Sedation,link,0
30,Choline_salicylate,link,0
31,PZM21,link,0
32,Rifampicin,link,0
33,Dextropropoxyphene,link,0
34,Aminophenazone,link,0
35,Alcohol_(drug),link,0
36,Receptor_modulator,link,0
37,Arylcyclohexylamine,link,0
38,Formaldehyde,link,0
39,Taliban,link,0
40,Tenoxicam,link,0
41,Cyproterone_acetate,link,0
42,Ciprefadol,link,0
43,Apparicine,link,0
44,BU09059,link,0
45,Opioid,link,0
46,Piminodine,link,0
47,Protein_Data_Bank,link,0
48,Suprofen,link,0
49,Diflunisal,link,0
50,Potassium_chloride_(medical_use),link,0
51,Candoxatril,link,0
52,Bioavailability,link,0
53,Benzydamine,link,0
54,Central_nervous_system,link,0
55,Diclofenac,link,0
56,LPK-26,link,0
57,Proadifen,link,0
58,RB-101,link,0
59,BW373U86,link,0
60,Chloroxymorphamine,link,0
61,Nabiximols,link,0
62,Pethidine,link,0
63,British_Columbia,link,0
64,Parafluorofentanyl,link,0
65,Microgram,link,0
66,SC-17599,link,0
67,Chemical_formula,link,0
68,Ibuprofen/paracetamol,link,0
69,ATC_code_N02,link,0
70,Sodium_thiopental,link,0
71,Naltalimide,link,0
72,Ciglitazone,link,0
73,Methadone,link,0
74,Dihydroetorphine,link,0
75,Delirium,link,0
76,Endomorphin-1,link,0
77,SR-16435,link,0
78,Lipotropin,link,0
79,Axelopran,link,0
80,Quingestrone,link,0
81,Food_and_Drug_Administration,link,0
82,Bezitramide,link,0
83,Ethenzamide,link,0
84,Pregnanediol,link,0
85,The_New_York_Times,link,0
86,SCH-221510,link,0
87,Los_Angeles_Times,link,0
88,Picenadol,link,0
89,NNC_63-0532,link,0
90,Nociceptin_receptor,link,0
91,Unique_Ingredient_Identifier,link,0
92,Buprenorphine,link,0
93,HS665,link,0
94,Matrine,link,0
95,Xenobiotic-sensing_receptor,link,0
96,Sufentanil,link,0
97,Nalorphine,link,0
98,Methylnaltrexone,link,0
99,Fedotozine,link,0
100,Flufenamic_acid,link,0
101,8-Carboxamidocyclazocine,link,0
102,Celecoxib,link,0
103,DAMGO,link,0
104,Hyperoside,link,0
105,Methoxypropane,link,0
106,Methyl_salicylate,link,0
107,Flurbiprofen,link,0
108,Oliceridine,link,0
109,Phenacetin,link,0
110,Nalmefene,link,0
111,Barbiturate,link,0
112,Benzylmorphine,link,0
113,DailyMed,link,0
114,Lethal_injection,link,0
115,AH-7921,link,0
116,Amlodipine_besylate,link,0
117,Dibunate_sodium,link,0
118,Chrysin,link,0
119,Clotrimazole,link,0
120,Alfaxalone,link,0
121,Salicylamide,link,0
122,Anesthesia,link,0
123,General_anaesthetic,link,0
124,Hydrocodone/ibuprofen,link,0
125,Aurothioglucose,link,0
126,Noribogaine,link,0
127,Morpholine_salicylate,link,0
128,Bedinvetmab,link,0
129,Docusate_calcium,link,0
130,Asimadoline,link,0
131,JSmol,link,0
132,Nevirapine,link,0
133,Channel_modulator,link,0
134,BU-48,link,0
135,Propacetamol,link,0
136,Oxycodone/aspirin,link,0
137,Methocarbamol,link,0
138,Mefenamic_acid,link,0
139,Pharmacy,link,0
140,Medication,link,0
141,Butorphanol,link,0
142,Lufuradom,link,0
143,Laudanosine,link,0
144,Dynorphin_B,link,0
145,Enadoline,link,0
146,Norelgestromin,link,0
147,Tifluadom,link,0
148,Metopon,link,0
149,"ICI-199,441",link,0
150,DPDPE,link,0
151,6%27-Guanidinonaltrindole,link,0
152,Nausea,link,0
153,Alvimopan,link,0
154,Metyrapone,link,0
155,Trichloroethylene,link,0
156,Ubenimex,link,0
157,Rifaximin,link,0
158,Papaver_somniferum,link,0
159,Casokefamide,link,0
160,Deltorphin_I,link,0
161,Lornoxicam,link,0
162,Butyrfentanyl,link,0
163,5%CE%B1-Dihydroprogesterone,link,0
164,Cephaloridine,link,0
165,Fluorometholone,link,0
166,Diphenhydramine,link,0
167,Cyclazocine,link,0
168,European_Medicines_Agency,link,0
169,Salvinorin_B_methoxymethyl_ether,link,0
170,Clinical_trial,link,0
171,Thiorphan,link,0
172,Reverse_triiodothyronine,link,0
173,Endomorphin-2,link,0
174,Terconazole,link,0
175,Tonazocine,link,0
176,"4%27,7-Dihydroxyflavone",link,0
177,PF-4455242,link,0
178,Frunevetmab,link,0
179,Euphoria,link,0
180,Netherlands,link,0
181,Cyclorphan,link,0
182,Ketobemidone,link,0
183,Diprenorphine,link,0
184,Drowsiness,link,0
185,Enkephalinase_inhibitor,link,0
186,Ecadotril,link,0
187,Guacetisal,link,0
188,Lovastatin,link,0
189,Fentanyl/fluanisone,link,0
190,TH-030418,link,0
191,Capsaicin,link,0
192,MDMA,link,0
193,Troleandomycin,link,0
194,Codeine,link,0
195,Apigenin,link,0
196,Pyrazolone,link,0
197,NBC_News,link,0
198,Neuropathic_pain,link,0
199,Biphalin,link,0
200,Stimulant,link,0
201,DrugBank,link,0
202,Nifenazone,link,0
203,Felodipine,link,0
204,Levomethorphan,link,0
205,Molar_mass,link,0
206,Oxycodegol,link,0
207,Proenkephalin,link,0
208,Eseroline,link,0
209,International_Chemical_Identifier,link,0
210,Zenazocine,link,0
211,Piperine,link,0
212,Desflurane,link,0
213,Tolnaftate,link,0
214,Melting_point,link,0
215,Alprazolam,link,0
216,Gabapentin,link,0
217,Cypermethrin,link,0
218,Cyclobenzaprine,link,0
219,Tynorphin,link,0
220,Valorphin,link,0
221,Nicotine,link,0
222,DADLE,link,0
223,Camphor,link,0
224,Nebulizer,link,0
225,Naltriben,link,0
226,%CE%9A-opioid_receptor,link,0
227,Ziconotide,link,0
228,Oxilorphan,link,0
229,Pregnanolone,link,0
230,Meclofenamic_acid,link,0
231,Drug_metabolism,link,0
232,Pregnancy_category,link,0
233,Salicylic_acid,link,0
234,Remimazolam,link,0
235,C-8813,link,0
236,Lofentanil,link,0
237,Somnolence,link,0
238,Guide_to_Pharmacology,link,0
239,Xenon,link,0
240,Piritramide,link,0
241,Cambridge,link,0
242,Nalodeine,link,0
243,7-Spiroindanyloxymorphone,link,0
244,Imipramine,link,0
245,Sublingual,link,0
246,Semax,link,0
247,Spironolactone,link,0
248,Magnesium_salicylate,link,0
249,Paul_Janssen,link,0
250,Drug_overdose,link,0
251,Remifentanil,link,0
252,NME,link,0
253,3-HO-PCP,link,0
254,Diphenoxylate,link,0
255,Topical,link,0
256,Dextromoramide,link,0
257,Funapide,link,0
258,LY-255582,link,0
259,Prednisolone,link,0
260,Constipation,link,0
261,Bevenopran,link,0
262,Meptazinol,link,0
263,Meperidine,link,0
264,Indometacin_farnesil,link,0
265,Ethylketazocine,link,0
266,Tilidine,link,0
267,Furanylfentanyl,link,0
268,Embutramide,link,0
269,Narcotic,link,0
270,Constitutive_androstane_receptor,link,0
271,Nafcillin,link,0
272,Hodgkinsine,link,0
273,ADL-5859,link,0
274,JDTic,link,0
275,Hydromorphinol,link,0
276,List_of_withdrawn_drugs,link,0
277,Tramadol/paracetamol,link,0
278,Carfentanil,link,0
279,Phenazocine,link,0
280,Naltrexone,link,0
281,Lasalocid_sodium,link,0
282,Navacaprant,link,0
283,Nicardipine,link,0
284,Pentazocine,link,0
285,Propofol,link,0
286,Suramin,link,0
287,Paracetamol,link,0
288,The_Guardian,link,0
289,Leu-enkephalin,link,0
290,Phenobarbital,link,0
291,Riodipine,link,0
