Source,Target,Type,Weight
1,1193,Directed,1
1,2000,Directed,1
1,1,Directed,1
1,3231,Directed,1
1,2633,Directed,1
1,4101,Directed,1
1,1637,Directed,1
1,834,Directed,1
1,1126,Directed,1
1,2928,Directed,1
1,565,Directed,1
1,1481,Directed,1
1,348,Directed,1
1,1241,Directed,1
1,3179,Directed,1
6,2369,Directed,1
6,4266,Directed,1
6,1342,Directed,1
6,1343,Directed,1
6,4417,Directed,1
6,3412,Directed,1
6,3281,Directed,1
6,4418,Directed,1
6,157,Directed,1
6,4419,Directed,1
6,1920,Directed,1
6,1350,Directed,1
6,6,Directed,1
6,2665,Directed,1
6,4002,Directed,1
6,1781,Directed,1
6,11,Directed,1
6,4004,Directed,1
6,162,Directed,1
6,2985,Directed,1
6,1211,Directed,1
6,1043,Directed,1
6,17,Directed,1
6,4432,Directed,1
6,4014,Directed,1
6,3719,Directed,1
6,4576,Directed,1
6,2246,Directed,1
6,3439,Directed,1
6,2249,Directed,1
6,737,Directed,1
6,2250,Directed,1
6,3585,Directed,1
6,4437,Directed,1
6,3731,Directed,1
6,1799,Directed,1
6,4442,Directed,1
6,3446,Directed,1
6,746,Directed,1
6,34,Directed,1
6,747,Directed,1
6,193,Directed,1
6,1062,Directed,1
6,2687,Directed,1
6,49,Directed,1
6,474,Directed,1
6,1243,Directed,1
6,3457,Directed,1
6,3459,Directed,1
6,1245,Directed,1
6,4310,Directed,1
6,1395,Directed,1
6,1394,Directed,1
6,1679,Directed,1
6,207,Directed,1
6,483,Directed,1
6,347,Directed,1
6,2125,Directed,1
6,3330,Directed,1
6,1982,Directed,1
6,349,Directed,1
6,2874,Directed,1
6,3471,Directed,1
6,4459,Directed,1
6,3754,Directed,1
6,2877,Directed,1
6,3184,Directed,1
6,1693,Directed,1
6,2286,Directed,1
6,1557,Directed,1
6,4604,Directed,1
6,63,Directed,1
6,1695,Directed,1
6,1698,Directed,1
6,4609,Directed,1
6,3905,Directed,1
6,4471,Directed,1
6,2431,Directed,1
6,3626,Directed,1
6,2296,Directed,1
6,3044,Directed,1
6,3911,Directed,1
6,946,Directed,1
6,229,Directed,1
6,3199,Directed,1
6,3051,Directed,1
6,1842,Directed,1
6,3494,Directed,1
6,2304,Directed,1
6,3052,Directed,1
6,84,Directed,1
6,505,Directed,1
6,1570,Directed,1
6,3202,Directed,1
6,2902,Directed,1
6,4056,Directed,1
6,3056,Directed,1
6,2006,Directed,1
6,508,Directed,1
6,4064,Directed,1
6,3922,Directed,1
