Source,Target,Type,Id,Label,Weight
1,2,Undirected,317355,,10
1,3,Undirected,317356,,17
1,4,Undirected,317357,,30
1,17,Undirected,317358,,7
1,19,Undirected,317359,,6
1,21,Undirected,317360,,9
1,22,Undirected,317361,,13
1,23,Undirected,317362,,13
1,24,Undirected,317363,,5
1,25,Undirected,317364,,7
1,26,Undirected,317365,,40
1,27,Undirected,317366,,6
1,29,Undirected,317367,,5
1,30,Undirected,317368,,13
1,31,Undirected,317369,,36
1,32,Undirected,317370,,107
1,33,Undirected,317371,,5
1,34,Undirected,317372,,5
1,6,Undirected,317373,,85
1,35,Undirected,317374,,11
1,36,Undirected,317375,,29
1,37,Undirected,317376,,10
1,38,Undirected,317377,,5
1,39,Undirected,317378,,8
1,74,Undirected,317379,,7
1,45,Undirected,317380,,38
1,75,Undirected,317381,,5
1,76,Undirected,317382,,27
1,77,Undirected,317383,,9
1,78,Undirected,317384,,25
1,79,Undirected,317385,,7
1,80,Undirected,317386,,12
1,81,Undirected,317387,,7
1,87,Undirected,317388,,5
1,89,Undirected,317389,,8
1,90,Undirected,317390,,8
1,91,Undirected,317391,,9
1,100,Undirected,317392,,8
1,102,Undirected,317393,,7
1,103,Undirected,317394,,7
1,104,Undirected,317395,,19
1,69,Undirected,317396,,78
1,105,Undirected,317397,,10
1,108,Undirected,317398,,47
1,109,Undirected,317399,,43
1,71,Undirected,317400,,78
1,84,Undirected,317401,,25
1,85,Undirected,317402,,33
1,112,Undirected,317403,,7
1,114,Undirected,317404,,6
1,115,Undirected,317405,,8
1,116,Undirected,317406,,26
1,117,Undirected,317407,,6
1,119,Undirected,317408,,21
1,72,Undirected,317409,,19
1,10,Undirected,317410,,82
1,122,Undirected,317411,,10
1,123,Undirected,317412,,34
1,134,Undirected,317413,,15
1,135,Undirected,317414,,19
1,136,Undirected,317415,,11
1,144,Undirected,317416,,23
1,145,Undirected,317417,,8
1,131,Undirected,317418,,18
1,146,Undirected,317419,,7
1,147,Undirected,317420,,8
1,47,Undirected,317421,,16
1,148,Undirected,317422,,14
1,149,Undirected,317423,,22
1,8,Undirected,317424,,16
1,150,Undirected,317425,,7
1,157,Undirected,317426,,6
1,159,Undirected,317427,,10
1,160,Undirected,317428,,10
1,162,Undirected,317429,,6
1,179,Undirected,317430,,7
1,14,Undirected,317431,,23
1,92,Undirected,317432,,11
1,188,Undirected,317433,,5
1,189,Undirected,317434,,25
1,191,Undirected,317435,,11
1,192,Undirected,317436,,11
1,193,Undirected,317437,,11
1,184,Undirected,317438,,8
1,56,Undirected,317439,,17
1,229,Undirected,317440,,28
1,233,Undirected,317441,,6
1,83,Undirected,317442,,42
1,138,Undirected,317443,,12
1,235,Undirected,317444,,6
1,178,Undirected,317445,,9
1,240,Undirected,317446,,17
1,241,Undirected,317447,,9
1,129,Undirected,317448,,14
1,242,Undirected,317449,,5
1,239,Undirected,317450,,8
1,248,Undirected,317451,,13
1,249,Undirected,317452,,5
1,259,Undirected,317453,,56
1,261,Undirected,317454,,18
1,262,Undirected,317455,,26
1,263,Undirected,317456,,6
1,264,Undirected,317457,,6
1,286,Undirected,317458,,5
1,165,Undirected,317459,,5
1,288,Undirected,317460,,17
1,290,Undirected,317461,,7
1,292,Undirected,317462,,6
1,293,Undirected,317463,,7
1,198,Undirected,317464,,17
1,300,Undirected,317465,,7
1,258,Undirected,317466,,22
1,317,Undirected,317467,,11
1,319,Undirected,317468,,12
1,173,Undirected,317469,,18
1,327,Undirected,317470,,16
1,328,Undirected,317471,,28
1,329,Undirected,317472,,8
1,330,Undirected,317473,,6
1,11,Undirected,317474,,42
1,333,Undirected,317475,,6
1,335,Undirected,317476,,7
1,336,Undirected,317477,,7
1,337,Undirected,317478,,22
1,255,Undirected,317479,,13
1,347,Undirected,317480,,15
