Id,Label,group,attribute,modularity_class,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1,fentanyl,word,404,0,419,4,0.464825,0.498589,324113.849808
2,highly,word,46,0,24,5,0.375334,0.392907,1206.211588
3,potent,word,63,0,54,5,0.388184,0.408572,4917.367837
4,synthetic,word,43,0,28,5,0.369812,0.386852,2327.835221
5,piperidine,word,13,90,2,6,0.281702,0.28962,0
6,opioid,word,639,0,525,4,0.470003,0.508577,418622.559315
7,primarily,word,50,0,34,4,0.397885,0.417555,4343.67448
8,analgesic,word,126,0,107,5,0.407914,0.431838,20260.408737
9,time,word,444,90,469,4,0.488101,0.518396,440699.899054
10,heroin,word,365,0,340,4,0.454629,0.486245,255572.067707
11,morphine,word,302,0,297,4,0.43578,0.468202,196100.254046
12,primary,word,79,3,65,5,0.408421,0.42975,15294.932512
13,clinical,word,75,102,67,5,0.396496,0.418159,15943.058424
14,pain,word,312,3,302,4,0.440788,0.472716,163324.637597
15,management,word,62,3,70,5,0.391399,0.413004,10278.789691
16,cancer,word,105,3,94,5,0.409129,0.432007,12310.039365
17,patient,word,224,3,232,4,0.438823,0.466974,74343.781794
18,recover,word,11,3,3,5,0.309057,0.317307,8.296893
19,painful,word,19,82,15,5,0.352341,0.365575,913.216415
20,surgery,word,80,97,88,5,0.398449,0.42113,9364.130987
21,sedative,word,52,3,50,5,0.396071,0.416644,5035.352335
22,depend,word,40,97,38,5,0.380925,0.400316,1293.291728
23,method,word,121,97,114,4,0.418402,0.44199,37043.518377
24,delivery,word,28,97,32,5,0.375739,0.394083,3600.560197
25,fast,word,30,97,28,5,0.38014,0.398296,1614.802307
26,act,word,182,0,165,4,0.427084,0.452923,58036.212047
27,ingest,word,12,0,4,5,0.32733,0.338059,8.664788
28,relatively,word,46,0,36,5,0.381836,0.400869,1572.52534
29,small,word,114,106,104,5,0.424964,0.447794,27220.1801
30,quantity,word,19,106,16,5,0.363799,0.378904,1281.43273
31,cause,word,319,3,327,4,0.456139,0.486739,171384.899192
32,overdose,word,186,3,176,4,0.431893,0.457818,55779.791434
33,work,word,76,106,53,5,0.392466,0.413222,8748.423656
34,activate,word,24,0,18,5,0.353691,0.368647,1135.410473
35,receptor,word,315,0,257,5,0.420397,0.452096,156501.598932
36,sell,word,71,0,63,5,0.393538,0.414669,10434.601307
37,brand,word,85,0,79,5,0.388567,0.410705,32731.49575
38,name,word,88,0,78,4,0.407886,0.429758,33401.834651
39,actiq,word,6,0,5,5,0.326697,0.336017,73.030563
40,duragesic,word,11,0,9,5,0.326372,0.337027,184.793633
41,sublimaze,word,6,0,5,5,0.301716,0.309904,13.280117
42,pharmaceutical,word,43,106,28,5,0.377782,0.395305,862.737241
43,fentanyls,word,10,0,9,5,0.342177,0.353496,105.841916
44,adverse,word,53,0,49,5,0.389387,0.409918,1646.041385
45,effect,word,539,0,557,4,0.477256,0.515688,437222.137227
46,identical,word,11,4,11,5,0.334371,0.347291,1279.7669
47,narcotic,word,56,0,55,5,0.404201,0.425348,4260.870514
48,addiction,word,93,0,75,5,0.414061,0.436,25428.820496
49,confusion,word,29,3,22,5,0.362415,0.378489,1804.161244
50,respiratory,word,73,3,77,5,0.397243,0.419697,5726.526438
51,depression,word,101,3,106,5,0.416132,0.439498,19445.81437
52,extensive,word,32,106,22,5,0.353628,0.36687,1048.031086
53,lead,word,220,3,194,4,0.45071,0.474987,75463.376798
54,arrest,word,37,97,35,5,0.385072,0.404244,8517.590296
55,drowsiness,word,18,97,14,5,0.35774,0.373218,1519.024988
56,nausea,word,56,0,49,5,0.376003,0.395598,5356.587182
57,visual,word,15,106,6,5,0.290656,0.299012,70.074801
58,disturbance,word,16,3,16,5,0.352615,0.366128,2330.121303
59,dyskinesia,word,18,3,12,5,0.339834,0.351007,54.572956
60,hallucination,word,9,3,6,5,0.324222,0.334307,132.680479
61,delirium,word,302,3,290,4,0.43142,0.463885,191653.309813
62,muscle,word,59,97,53,5,0.369026,0.387554,13314.1863
63,rigidity,word,7,97,3,5,0.336677,0.346219,5.35827
64,constipation,word,36,0,41,5,0.3706,0.389185,10930.702117
65,loss,word,83,97,81,5,0.403153,0.425523,15357.426057
66,consciousness,word,23,97,22,5,0.366917,0.382684,1337.816158
67,hypotension,word,10,3,7,5,0.309218,0.31834,52.251803
68,coma,word,22,3,15,5,0.367556,0.383587,680.651868
69,death,word,640,82,530,4,0.48422,0.519172,503566.111967
70,alcohol,word,668,3,604,4,0.477681,0.518735,590935.633168
71,drug,word,881,0,807,4,0.502253,0.547105,883891.567509
72,cocaine,word,45,0,49,5,0.385902,0.406346,7539.562854
73,naloxone,word,78,0,87,5,0.38985,0.412536,15334.433031
74,reverse,word,26,0,15,5,0.355458,0.370092,336.715419
75,multiple,word,85,90,81,5,0.415518,0.437664,35933.791795
76,dose,word,318,97,310,4,0.441348,0.473619,125880.785928
77,necessary,word,24,97,21,5,0.36928,0.385754,1316.115576
78,synthesize,word,49,0,47,5,0.380655,0.400629,5171.585123
79,paul,word,16,0,9,5,0.338239,0.349616,3716.57681
80,janssen,word,10,0,9,5,0.338452,0.348341,60.671339
81,approve,word,84,106,80,5,0.41181,0.434039,11625.939868
82,medical,word,173,78,188,5,0.441645,0.467022,91507.24057
83,use,word,457,3,448,4,0.477333,0.509579,252793.7443
84,united,word,411,106,366,4,0.473735,0.502384,141598.567518
85,state,word,1052,106,907,4,0.51522,0.561043,1153060.436965
86,kilogram,word,34,4,42,5,0.367511,0.38473,6220.246382
87,healthcare,word,36,78,36,5,0.384896,0.403911,1637.22125
88,globally,word,9,78,5,5,0.339658,0.351075,291.604405
89,update,word,165,106,174,5,0.43243,0.45836,71966.076813
90,widely,word,49,102,34,5,0.389772,0.40904,12134.401894
91,medicine,word,147,78,147,5,0.429694,0.454311,51716.134085
92,commonly,word,94,97,86,4,0.417308,0.439549,17892.540796
93,prescribe,word,59,0,57,5,0.399068,0.420289,2447.442934
94,medication,word,197,97,195,5,0.431988,0.459066,59770.941077
95,million,word,129,106,138,5,0.434882,0.458417,34649.411843
96,prescription,word,130,0,128,5,0.423988,0.44809,25255.089402
97,world,word,474,78,444,4,0.479737,0.511145,346133.494075
98,health,word,492,78,448,5,0.474458,0.507483,301237.24688
99,organization,word,179,78,160,4,0.431294,0.45645,54738.911713
100,list,word,117,78,100,5,0.416162,0.439117,22300.403692
101,essential,word,40,78,26,5,0.372048,0.389216,1087.079859
102,continue,word,69,82,62,5,0.416396,0.43734,7513.82311
103,fuel,word,20,3,15,5,0.358652,0.373467,867.093563
104,epidemic,word,29,78,35,5,0.375716,0.393999,2697.76173
