Id,Label,Group,Attribute
1,fentanyl,word,404
2,highly,word,46
3,potent,word,63
4,synthetic,word,43
5,piperidine,word,13
6,opioid,word,639
7,primarily,word,50
8,analgesic,word,126
9,time,word,444
10,heroin,word,365
11,morphine,word,302
12,primary,word,79
13,clinical,word,75
14,pain,word,312
15,management,word,62
16,cancer,word,105
17,patient,word,224
18,recover,word,11
19,painful,word,19
20,surgery,word,80
21,sedative,word,52
22,depend,word,40
23,method,word,121
24,delivery,word,28
25,fast,word,30
26,act,word,182
27,ingest,word,12
28,relatively,word,46
29,small,word,114
30,quantity,word,19
31,cause,word,319
32,overdose,word,186
33,work,word,76
34,activate,word,24
35,receptor,word,315
36,sell,word,71
37,brand,word,85
38,name,word,88
39,actiq,word,6
40,duragesic,word,11
41,sublimaze,word,6
42,pharmaceutical,word,43
43,fentanyls,word,10
44,adverse,word,53
45,effect,word,539
46,identical,word,11
47,narcotic,word,56
48,addiction,word,93
49,confusion,word,29
50,respiratory,word,73
51,depression,word,101
52,extensive,word,32
53,lead,word,220
54,arrest,word,37
55,drowsiness,word,18
56,nausea,word,56
57,visual,word,15
58,disturbance,word,16
59,dyskinesia,word,18
60,hallucination,word,9
61,delirium,word,302
62,muscle,word,59
63,rigidity,word,7
64,constipation,word,36
65,loss,word,83
66,consciousness,word,23
67,hypotension,word,10
68,coma,word,22
69,death,word,640
70,alcohol,word,668
71,drug,word,881
72,cocaine,word,45
73,naloxone,word,78
74,reverse,word,26
75,multiple,word,85
76,dose,word,318
77,necessary,word,24
78,synthesize,word,49
79,paul,word,16
80,janssen,word,10
81,approve,word,84
82,medical,word,173
83,use,word,457
84,united,word,411
85,state,word,1052
86,kilogram,word,34
87,healthcare,word,36
88,globally,word,9
89,update,word,165
90,widely,word,49
91,medicine,word,147
92,commonly,word,94
93,prescribe,word,59
94,medication,word,197
95,million,word,129
96,prescription,word,130
97,world,word,474
98,health,word,492
99,organization,word,179
100,list,word,117
101,essential,word,40
102,continue,word,69
103,fuel,word,20
104,epidemic,word,29
105,year,word,393
106,remain,word,90
107,stable,word,21
108,increase,word,413
109,analogue,word,34
110,responsible,word,47
111,constitute,word,18
112,majority,word,73
113,national,word,192
114,laboratory,word,30
115,estimate,word,96
116,report,word,232
117,federal,word,81
118,local,word,109
119,mixed,word,33
120,cut,word,21
121,alongside,word,8
122,pill,word,47
123,form,word,246
124,oxycodone,word,35
125,mixing,word,5
126,difficult,word,31
127,determine,word,52
128,correct,word,10
129,treatment,word,412
130,case,word,176
131,result,word,245
132,attempt,word,51
133,reduce,word,189
134,number,word,205
135,testing,word,19
136,strip,word,12
137,lab,word,15
138,available,word,144
139,ease,word,7
140,manufacture,word,58
141,high,word,414
142,potency,word,35
143,easy,word,10
144,produce,word,193
145,smuggle,word,67
146,replace,word,41
147,abuse,word,79
148,intravenous,word,65
149,anesthesia,word,44
150,induce,word,48
151,sedativehypnotic,word,6
152,like,word,156
153,propofol,word,12
154,thiopental,word,85
155,euphoriant,word,7
156,maintain,word,51
157,inhale,word,14
158,anesthetic,word,60
159,additional,word,42
160,minute,word,33
161,interval,word,16
162,procedure,word,59
163,emergency,word,65
164,room,word,28
165,relief,word,61
166,decrease,word,143
167,inhalational,word,5
168,need,word,270
169,emergence,word,14
170,balance,word,19
171,base,word,145
172,expect,word,23
173,person,word,176
174,response,word,115
175,blood,word,148
176,pressure,word,63
177,heart,word,77
178,rate,word,200
179,minimal,word,9
180,intrathecal,word,5
181,profile,word,16
182,allow,word,113
183,quick,word,10
184,onset,word,28
185,action,word,164
186,intermediate,word,23
187,duration,word,62
188,spinal,word,83
189,administration,word,227
190,bupivacaine,word,10
191,optimal,word,10
192,combination,word,151
193,immediate,word,26
194,discomfort,word,6
195,epidurally,word,6
196,epidural,word,299
197,anaesthesia,word,15
198,analgesia,word,158
199,lipid,word,5
200,solubility,word,13
201,prefer,word,13
202,wide,word,34
203,spread,word,54
204,short,word,52
205,peak,word,20
206,rapid,word,49
207,termination,word,10
208,single,word,60
209,occurrence,word,28
210,relative,word,37
211,cardiovascular,word,31
212,stability,word,11
213,closely,word,15
214,regulate,word,29
215,prevent,word,123
216,large,word,243
217,amount,word,73
218,transfer,word,20
219,mother,word,48
220,fetus,word,15
221,stimulant,word,20
222,reason,word,39
223,agent,word,56
224,remifentanil,word,9
225,suitable,word,5
226,context,word,28
227,general,word,111
228,bioavailability,word,90
229,intranasal,word,8
230,clot,word,9
231,swallow,word,8
232,incorrect,word,10
233,palliative,word,15
234,safe,word,35
235,low,word,257
236,demonstrate,word,22
237,prospective,word,6
238,observational,word,5
239,study,word,303
240,child,word,151
241,useful,word,33
242,moderate,word,60
243,severe,word,154
244,tolerate,word,19
245,furthermore,word,7
246,suggest,word,92
247,efficacy,word,62
248,lozenge,word,9
249,young,word,50
250,little,word,45
251,control,word,238
252,sufficient,word,17
253,dosage,word,84
254,contrast,word,15
255,buccal,word,7
256,tablet,word,90
257,chronic,word,112
258,transdermal,word,18
259,patch,word,48
260,slowly,word,16
261,release,word,94
262,skin,word,48
263,bloodstream,word,17
264,hour,word,108
265,size,word,46
266,absorption,word,50
267,constant,word,30
268,temperature,word,56
269,change,word,116
270,dependent,word,23
271,factor,word,94
272,body,word,176
273,type,word,91
274,fat,word,21
275,placement,word,31
276,major,word,171
277,different,word,117
278,system,word,249
279,affect,word,66
280,individual,word,121
281,route,word,90
282,normal,word,43
283,circumstance,word,22
284,reach,word,59
285,handle,word,10
286,unclear,word,15
287,longterm,word,85
288,people,word,537
289,neuropathic,word,13
290,sublingual,word,8
291,dissolve,word,12
292,quickly,word,31
293,absorb,word,23
294,provide,word,153
295,compound,word,107
296,generally,word,96
297,particularly,word,68
298,episode,word,36
299,intensity,word,10
300,care,word,166
301,limited,word,26
302,role,word,55
303,minimize,word,11
304,avoid,word,42
305,external,word,7
306,heat,word,24
307,source,word,78
308,direct,word,44
309,sunlight,word,6
310,heating,word,5
311,etc,word,17
312,trigger,word,11
313,potentially,word,18
314,deadly,word,11
315,complication,word,52
316,pararescue,word,59
317,combat,word,62
318,afghanistan,word,220
319,lollipop,word,6
320,casualty,word,8
321,trauma,word,24
322,fall,word,74
323,mouth,word,60
324,indicate,word,63
325,somewhat,word,10
326,likelihood,word,12
327,associate,word,135
328,risk,word,396
329,help,word,88
330,relieve,word,26
331,shortness,word,6
332,breath,word,13
333,refractory,word,6
334,setting,word,9
335,treat,word,179
336,strong,word,70
337,citrate,word,7
338,nasal,word,8
339,spray,word,16
340,level,word,256
341,especially,word,78
342,cost,word,105
343,benefit,word,56
344,compare,word,72
345,oral,word,100
346,option,word,9
347,appear,word,77
348,effective,word,159
349,superior,word,28
350,intramuscular,word,22
351,acute,word,93
352,hospital,word,84
353,development,word,130
354,aim,word,27
355,postoperative,word,33
356,technology,word,33
357,consist,word,55
358,administer,word,103
359,hydrochloride,word,13
360,experiment,word,18
361,withdraw,word,29
362,inadequate,word,12
363,prove,word,28
364,placebo,word,24
365,show,word,175
366,mean,word,74
367,score,word,30
368,significant,word,103
369,common,word,147
370,vomiting,word,33
371,dry,word,17
372,weakness,word,11
373,frequently,word,39
374,abdominal,word,14
375,headache,word,48
376,fatigue,word,9
377,weight,word,34
378,dizziness,word,23
379,nervousness,word,5
380,anxiety,word,27
381,symptom,word,94
382,urinary,word,12
383,retention,word,10
384,despite,word,60
385,tend,word,29
386,itching,word,13
387,rare,word,66
388,serotonin,word,24
389,syndrome,word,59
390,exist,word,51
391,advise,word,13
392,exercise,word,13
393,caution,word,16
394,combine,word,44
395,selective,word,37
396,reuptake,word,11
397,inhibitor,word,38
398,harm,word,23
399,food,word,146
400,fda,word,77
401,begin,word,116
402,investigate,word,21
403,doctor,word,48
404,kingdom,word,49
405,warn,word,17
406,september,word,54
407,april,word,59
408,die,word,50
409,seriously,word,5
410,ill,word,14
411,separate,word,32
412,accidental,word,19
413,exposure,word,41
414,dangerous,word,23
415,sensitivity,word,19
416,carbon,word,47
417,dioxide,word,14
418,breathing,word,28
419,brain,word,197
420,injury,word,61
421,airway,word,10
422,secure,word,13
423,tube,word,18
424,specific,word,73
425,group,word,252
426,sleep,word,42
427,apnea,word,7
428,preparation,word,34
429,delay,word,12
430,sudden,word,14
431,hypothesis,word,5
432,related,word,77
433,socalled,word,7
434,wooden,word,6
435,chest,word,6
436,complete,word,52
437,failure,word,91
438,thoracic,word,5
439,explain,word,22
440,detail,word,10
441,section,word,46
442,bolus,word,11
443,cord,word,44
444,ventilation,word,6
445,exact,word,8
446,mechanism,word,64
447,unknown,word,19
448,neuromuscular,word,10
449,blocker,word,5
450,prominent,word,22
451,believe,word,42
452,main,word,59
453,possibly,word,14
454,activation,word,19
455,cholinergic,word,6
456,unique,word,26
457,powerful,word,10
458,today,word,28
459,comprise,word,13
460,mild,word,38
461,less,word,10
462,degree,word,37
463,user,word,78
464,adopt,word,36
465,nod,word,8
466,later,word,99
467,note,word,52
468,happen,word,14
469,vary,word,58
470,extreme,word,12
471,sign,word,41
472,fold,word,18
473,functional,word,33
474,disability,word,15
475,drive,word,37
476,mental,word,43
477,socioeconomic,word,9
478,status,word,36
479,typically,word,77
480,pose,word,9
481,human,word,261
482,require,word,135
483,toxicity,word,58
484,unpredictable,word,5
485,attribute,word,14
486,solely,word,7
487,occur,word,167
488,serum,word,14
489,concentration,word,118
490,gml,word,7
491,range,word,80
492,approximately,word,68
493,ngml,word,6
494,great,word,115
495,fatality,word,5
496,involve,word,116
497,clear,word,18
498,correlation,word,12
499,mixture,word,20
500,fatal,word,58
501,magnitude,word,11
502,extremely,word,22
503,completely,word,23
504,partially,word,9
505,july,word,83
506,product,word,138
507,regulatory,word,11
508,agency,word,77
509,issue,word,133
510,warning,word,24
511,potential,word,94
512,lifethreatening,word,14
513,keep,word,11
514,away,word,29
515,analog,word,21
516,previous,word,26
517,illicitly,word,13
518,public,word,202
519,concern,word,60
520,canada,word,145
521,province,word,158
522,british,word,262
523,columbia,word,189
524,average,word,93
525,day,word,242
526,january,word,127
527,start,word,83
528,way,word,47
529,benzodiazepine,word,29
530,contamination,word,8
531,methamphetamine,word,10
532,ketamine,word,10
533,lace,word,5
534,far,word,35
535,mexico,word,52
536,china,word,124
537,country,word,410
538,substance,word,171
539,traffic,word,59
540,directly,word,48
541,india,word,59
542,emerge,word,22
543,finished,word,5
544,powder,word,26
545,precursor,word,40
546,chemical,word,151
547,illicit,word,43
548,market,word,139
549,long,word,144
550,domestic,word,37
551,production,word,208
552,import,word,30
553,opioidnaive,word,5
554,experimental,word,16
555,subject,word,68
556,mgkg,word,17
557,rat,word,37
558,cat,word,21
559,dog,word,25
560,monkey,word,6
561,mouse,word,14
562,june,word,44
563,record,word,79
564,accord,word,128
565,nation,word,154
566,office,word,107
567,crime,word,181
568,unodc,word,26
569,vienna,word,7
570,lethal,word,22
571,special,word,55
572,considerably,word,9
573,toxic,word,60
574,opiate,word,37
575,pediatric,word,15
576,network,word,102
577,adolescent,word,17
578,aged,word,23
579,crisis,word,23
580,north,word,138
581,america,word,54
582,late,word,75
583,medium,word,44
584,outlet,word,5
585,story,word,78
586,police,word,47
587,officer,word,17
588,hospitalize,word,9
589,touch,word,10
590,clothing,word,7
591,topical,word,8
592,unlikely,word,9
593,intoxication,word,38
594,prolonged,word,40
595,poisoning,word,23
596,contact,word,21
597,intact,word,10
598,article,word,62
599,journal,word,18
600,toxicology,word,9
601,consensus,word,11
602,scientific,word,33
603,community,word,81
604,illness,word,30
605,efficiently,word,6
606,carry,word,85
607,air,word,116
608,american,word,241
609,college,word,66
610,academy,word,19
611,joint,word,21
612,airborne,word,8
613,yield,word,8
614,therapeutic,word,48
615,heartbeat,word,6
616,hyperventilation,word,6
617,panic,word,5
618,attack,word,58
619,paper,word,16
620,express,word,35
621,physical,word,57
622,fear,word,18
623,inhibit,word,46
624,respond,word,26
625,spend,word,19
626,unnecessary,word,8
627,media,word,27
628,coverage,word,31
629,social,word,76
630,stigma,word,5
631,survey,word,37
632,new,word,565
633,york,word,146
634,briefly,word,7
635,expert,word,28
636,truly,word,5
637,physician,word,57
638,western,word,61
639,reserve,word,24
640,university,word,177
641,accidentally,word,5
642,advisory,word,13
643,misuse,word,42
644,center,word,89
645,disease,word,201
646,cdc,word,19
647,initial,word,41
648,alert,word,5
649,vital,word,6
650,information,word,101
651,incident,word,18
652,situation,word,21
653,attention,word,26
654,official,word,81
655,member,word,189
656,importance,word,10
657,october,word,47
658,subsequent,word,22
659,rise,word,45
660,nonopioid,word,6
661,december,word,57
662,substantial,word,10
663,march,word,39
664,implementation,word,23
665,widespread,word,25
666,measure,word,74
667,covid,word,27
668,pandemic,word,48
669,month,word,74
670,recommend,word,69
671,follow,word,203
672,counter,word,7
673,initiative,word,23
674,campaign,word,43
675,enforcement,word,38
676,dea,word,20
677,kill,word,53
678,goal,word,30
679,awareness,word,31
680,prevalence,word,22
681,difference,word,39
682,real,word,29
683,phenylpiperidine,word,10
684,family,word,62
685,sufentanil,word,5
686,alfentanil,word,5
687,carfentanil,word,15
688,structure,word,109
689,share,word,29
690,similarity,word,12
691,codeine,word,51
692,hydrocodone,word,14
693,hydromorphone,word,20
694,simple,word,32
695,modification,word,15
696,meperidine,word,22
697,fully,word,22
698,complex,word,71
699,version,word,35
700,weak,word,41
701,lipidsoluble,word,5
702,physiological,word,22
703,rapidly,word,23
704,cross,word,28
705,cellular,word,11
706,membrane,word,35
707,contribute,word,51
708,central,word,76
709,nervous,word,38
710,position,word,45
711,molecule,word,81
712,exceed,word,15
713,pharmacological,word,21
714,term,word,159
715,designer,word,7
716,acid,word,158
717,attach,word,16
718,chain,word,16
719,animal,word,87
720,contain,word,114
721,seven,word,29
722,portion,word,46
723,intracellular,word,9
724,loop,word,19
725,important,word,53
726,differentiate,word,11
727,bind,word,87
728,substrate,word,15
729,downstream,word,5
730,inhibitory,word,16
731,camp,word,14
732,ion,word,33
733,influx,word,12
734,potassium,word,25
735,efflux,word,5
736,pathway,word,24
737,threshold,word,16
738,perception,word,23
739,mediate,word,22
740,signal,word,21
741,agonist,word,112
742,delta,word,13
743,kappa,word,8
744,affinity,word,67
745,easily,word,19
746,penetrate,word,6
747,second,word,85
748,strongly,word,15
749,agonism,word,5
750,sedation,word,92
751,urine,word,52
752,monitor,word,17
753,confirm,word,18
754,diagnosis,word,26
755,assist,word,23
756,investigation,word,36
757,commercially,word,6
758,screen,word,14
