Source,Target,Type,Weight
1,2,Undirected,20
1,3,Undirected,30
1,4,Undirected,39
1,5,Undirected,2
1,19,Undirected,12
1,20,Undirected,4
1,21,Undirected,6
1,22,Undirected,8
1,23,Undirected,50
1,8,Undirected,94
1,24,Undirected,6
1,25,Undirected,14
1,26,Undirected,8
1,27,Undirected,8
1,28,Undirected,8
1,29,Undirected,6
1,30,Undirected,4
1,31,Undirected,2
1,32,Undirected,6
1,33,Undirected,4
1,34,Undirected,22
1,35,Undirected,98
1,36,Undirected,10
1,37,Undirected,10
1,6,Undirected,54
1,38,Undirected,10
1,39,Undirected,38
1,40,Undirected,14
1,41,Undirected,4
1,42,Undirected,12
1,92,Undirected,2
1,50,Undirected,36
1,93,Undirected,8
1,94,Undirected,38
1,95,Undirected,8
1,96,Undirected,8
1,97,Undirected,36
1,98,Undirected,42
1,99,Undirected,6
1,100,Undirected,8
1,108,Undirected,4
1,109,Undirected,6
1,110,Undirected,8
1,111,Undirected,12
1,120,Undirected,2
1,121,Undirected,14
1,122,Undirected,6
1,123,Undirected,8
1,124,Undirected,16
1,125,Undirected,6
1,126,Undirected,26
1,131,Undirected,2
1,134,Undirected,8
1,135,Undirected,50
1,136,Undirected,18
1,137,Undirected,78
1,138,Undirected,6
1,127,Undirected,50
1,104,Undirected,26
1,105,Undirected,18
1,139,Undirected,6
1,128,Undirected,71
1,140,Undirected,8
1,141,Undirected,12
1,143,Undirected,4
1,144,Undirected,4
1,145,Undirected,8
1,146,Undirected,8
1,147,Undirected,30
1,148,Undirected,12
1,149,Undirected,10
1,150,Undirected,2
1,151,Undirected,4
1,152,Undirected,36
1,153,Undirected,36
1,154,Undirected,4
1,155,Undirected,4
1,85,Undirected,46
1,54,Undirected,20
1,86,Undirected,16
1,11,Undirected,65
1,157,Undirected,16
1,158,Undirected,6
1,159,Undirected,46
1,175,Undirected,4
1,176,Undirected,32
1,177,Undirected,4
1,178,Undirected,22
1,185,Undirected,2
1,186,Undirected,12
1,187,Undirected,6
1,171,Undirected,8
1,188,Undirected,14
1,189,Undirected,6
1,53,Undirected,4
1,190,Undirected,6
1,191,Undirected,13
1,192,Undirected,10
1,9,Undirected,10
1,201,Undirected,4
1,202,Undirected,6
1,203,Undirected,20
1,61,Undirected,72
1,194,Undirected,8
1,218,Undirected,2
1,233,Undirected,12
1,16,Undirected,40
1,113,Undirected,22
1,234,Undirected,4
1,244,Undirected,4
1,245,Undirected,33
1,246,Undirected,6
1,247,Undirected,8
1,248,Undirected,6
1,249,Undirected,6
1,250,Undirected,6
1,251,Undirected,6
1,239,Undirected,10
1,252,Undirected,8
1,253,Undirected,6
1,254,Undirected,6
1,255,Undirected,6
1,65,Undirected,8
1,231,Undirected,8
1,256,Undirected,34
1,257,Undirected,4
1,258,Undirected,2
1,306,Undirected,2
1,261,Undirected,4
1,307,Undirected,6
1,308,Undirected,40
1,309,Undirected,8
1,310,Undirected,16
1,311,Undirected,4
1,312,Undirected,2
1,209,Undirected,6
1,316,Undirected,12
1,103,Undirected,92
1,180,Undirected,24
1,317,Undirected,4
1,112,Undirected,2
1,318,Undirected,4
1,319,Undirected,8
1,230,Undirected,10
1,89,Undirected,4
1,326,Undirected,2
1,327,Undirected,26
1,328,Undirected,18
1,169,Undirected,12
1,329,Undirected,4
1,330,Undirected,4
1,333,Undirected,4
1,325,Undirected,8
1,334,Undirected,6
1,335,Undirected,8
1,336,Undirected,16
1,337,Undirected,4
1,338,Undirected,2
1,351,Undirected,82
1,352,Undirected,4
1,353,Undirected,6
1,354,Undirected,8
1,355,Undirected,30
1,356,Undirected,6
1,357,Undirected,10
1,358,Undirected,2
1,278,Undirected,18
1,385,Undirected,4
1,386,Undirected,10
1,114,Undirected,4
1,387,Undirected,2
1,388,Undirected,2
1,389,Undirected,8
1,390,Undirected,8
1,391,Undirected,8
1,392,Undirected,6
1,211,Undirected,2
1,393,Undirected,10
1,394,Undirected,4
1,395,Undirected,10
1,396,Undirected,8
1,397,Undirected,12
1,398,Undirected,12
1,399,Undirected,2
1,400,Undirected,8
1,276,Undirected,6
1,262,Undirected,16
1,235,Undirected,8
1,401,Undirected,4
1,331,Undirected,8
1,407,Undirected,2
1,408,Undirected,14
1,350,Undirected,36
1,409,Undirected,6
1,410,Undirected,4
1,411,Undirected,2
1,432,Undirected,4
1,433,Undirected,4
1,434,Undirected,6
1,435,Undirected,4
1,444,Undirected,2
1,445,Undirected,12
1,446,Undirected,10
1,447,Undirected,8
1,448,Undirected,6
1,403,Undirected,2
1,456,Undirected,2
1,457,Undirected,30
1,458,Undirected,16
1,459,Undirected,6
1,460,Undirected,8
1,461,Undirected,2
1,466,Undirected,2
1,467,Undirected,4
1,468,Undirected,6
1,12,Undirected,20
1,471,Undirected,2
1,472,Undirected,6
1,52,Undirected,52
1,473,Undirected,8
1,474,Undirected,44
1,475,Undirected,2
1,347,Undirected,22
1,490,Undirected,4
1,491,Undirected,6
1,492,Undirected,8
1,493,Undirected,6
1,494,Undirected,8
1,17,Undirected,2
1,497,Undirected,10
1,498,Undirected,6
1,499,Undirected,8
1,500,Undirected,20
1,501,Undirected,2
1,504,Undirected,2
1,343,Undirected,6
1,505,Undirected,6
1,506,Undirected,4
1,507,Undirected,2
1,514,Undirected,4
1,515,Undirected,6
1,516,Undirected,8
1,517,Undirected,6
1,275,Undirected,10
1,518,Undirected,2
1,536,Undirected,2
1,537,Undirected,10
1,538,Undirected,6
1,539,Undirected,6
1,540,Undirected,2
1,551,Undirected,2
1,552,Undirected,4
1,553,Undirected,6
1,554,Undirected,8
1,555,Undirected,4
1,556,Undirected,4
1,557,Undirected,8
1,193,Undirected,6
1,561,Undirected,8
1,562,Undirected,4
1,563,Undirected,8
1,564,Undirected,6
1,565,Undirected,4
1,566,Undirected,2
1,572,Undirected,2
1,573,Undirected,4
1,574,Undirected,6
1,243,Undirected,14
1,240,Undirected,14
1,1,Undirected,84
1,575,Undirected,6
1,576,Undirected,12
1,577,Undirected,4
1,584,Undirected,6
1,585,Undirected,6
1,586,Undirected,14
1,579,Undirected,10
1,587,Undirected,16
1,592,Undirected,2
1,593,Undirected,6
1,594,Undirected,16
1,595,Undirected,8
1,596,Undirected,10
1,49,Undirected,14
1,57,Undirected,10
1,58,Undirected,10
1,597,Undirected,4
1,598,Undirected,8
1,617,Undirected,6
1,425,Undirected,12
1,618,Undirected,8
1,623,Undirected,2
1,624,Undirected,10
1,625,Undirected,28
1,626,Undirected,8
1,627,Undirected,12
1,628,Undirected,4
1,629,Undirected,8
1,77,Undirected,4
1,639,Undirected,4
1,183,Undirected,16
1,640,Undirected,8
1,641,Undirected,8
1,76,Undirected,4
1,653,Undirected,2
1,654,Undirected,4
1,622,Undirected,4
1,658,Undirected,4
1,83,Undirected,16
1,226,Undirected,8
1,630,Undirected,4
1,669,Undirected,2
1,670,Undirected,4
1,671,Undirected,6
1,672,Undirected,8
1,673,Undirected,8
1,674,Undirected,6
1,196,Undirected,20
1,676,Undirected,2
1,677,Undirected,4
1,678,Undirected,26
1,679,Undirected,16
1,680,Undirected,6
1,681,Undirected,4
1,682,Undirected,2
1,405,Undirected,22
1,691,Undirected,8
1,521,Undirected,8
1,696,Undirected,6
1,697,Undirected,4
1,280,Undirected,4
1,686,Undirected,8
1,700,Undirected,8
1,701,Undirected,6
1,702,Undirected,4
1,713,Undirected,4
1,489,Undirected,6
1,714,Undirected,8
1,715,Undirected,8
1,716,Undirected,6
1,721,Undirected,6
1,722,Undirected,10
1,723,Undirected,8
1,724,Undirected,6
1,725,Undirected,24
1,526,Undirected,2
1,728,Undirected,2
1,729,Undirected,4
1,227,Undirected,18
1,730,Undirected,6
1,731,Undirected,16
1,732,Undirected,2
1,760,Undirected,18
1,761,Undirected,8
1,764,Undirected,8
1,765,Undirected,4
1,606,Undirected,30
1,766,Undirected,46
1,660,Undirected,16
1,290,Undirected,18
1,767,Undirected,2
1,768,Undirected,12
1,769,Undirected,10
1,770,Undirected,8
1,771,Undirected,12
1,129,Undirected,16
