Id,Label,Group,Attribute
1,fentanyl,word,422
2,highly,word,15
3,potent,word,15
4,synthetic,word,30
5,piperidine,word,4
6,opioid,word,93
7,primarily,word,8
8,used,word,129
9,analgesic,word,17
10,times,word,22
11,heroin,word,44
12,morphine,word,32
13,primary,word,13
14,clinical,word,17
15,utility,word,2
16,pain,word,81
17,management,word,16
18,cancer,word,18
19,patients,word,53
20,recovering,word,2
21,painful,word,2
22,surgeries,word,5
23,also,word,157
24,sedative,word,2
25,depending,word,10
26,method,word,18
27,delivery,word,10
28,fast,word,4
29,acting,word,3
30,ingesting,word,2
31,relatively,word,9
32,small,word,28
33,quantity,word,4
34,cause,word,57
35,overdose,word,90
36,works,word,5
37,activating,word,2
38,receptors,word,27
39,sold,word,17
40,brand,word,23
41,names,word,8
42,actiq,word,12
43,duragesic,word,14
44,sublimaze,word,6
45,among,word,18
46,others,word,19
47,pharmaceutical,word,18
48,fentanyls,word,12
49,adverse,word,16
50,effects,word,71
51,identical,word,5
52,opioids,word,53
53,narcotics,word,4
54,including,word,56
55,addiction,word,8
56,confusion,word,6
57,respiratory,word,40
58,depression,word,23
59,extensive,word,2
60,untreated,word,3
61,may,word,138
62,lead,word,18
63,arrest,word,6
64,drowsiness,word,3
65,nausea,word,12
66,visual,word,3
67,disturbances,word,6
68,dyskinesia,word,2
69,hallucinations,word,3
70,delirium,word,5
71,subset,word,2
72,latter,word,3
73,known,word,43
74,narcotic,word,4
75,ileus,word,2
76,muscle,word,25
77,rigidity,word,13
78,constipation,word,5
79,loss,word,11
80,consciousness,word,2
81,hypotension,word,4
82,coma,word,2
83,death,word,24
84,alcohol,word,8
85,drugs,word,67
86,cocaine,word,11
87,synergistically,word,2
88,exacerbate,word,3
89,side,word,27
90,naloxone,word,119
91,narcan,word,8
92,reverse,word,10
93,multiple,word,8
94,doses,word,26
95,might,word,10
96,necessary,word,5
97,first,word,64
98,synthesized,word,16
99,paul,word,7
100,janssen,word,14
101,approved,word,24
102,medical,word,49
103,use,word,98
104,united,word,75
105,states,word,75
106,kilograms,word,2
107,pounds,word,5
108,healthcare,word,6
109,globally,word,3
110,update,word,3
111,widely,word,10
112,medicine,word,22
113,commonly,word,25
114,prescribed,word,9
115,medication,word,31
116,million,word,7
117,prescriptions,word,5
118,world,word,10
119,health,word,38
120,organizations,word,6
121,list,word,8
122,essential,word,3
123,medicines,word,7
124,continues,word,11
125,fuel,word,2
126,epidemic,word,9
127,drug,word,151
128,deaths,word,72
129,prescription,word,18
130,per,word,28
131,year,word,21
132,remained,word,2
133,stable,word,4
134,increased,word,35
135,overdoses,word,35
136,since,word,31
137,analogues,word,20
138,responsible,word,16
139,causing,word,20
140,constitutes,word,2
141,majority,word,7
142,overtook,word,2
143,national,word,26
144,forensic,word,4
145,laboratory,word,8
146,estimates,word,4
147,reports,word,12
148,federal,word,6
149,state,word,17
150,local,word,11
151,laboratories,word,10
152,often,word,66
153,mixed,word,10
154,cut,word,3
155,ingested,word,5
156,alongside,word,2
157,reported,word,23
158,pill,word,5
159,form,word,37
160,pills,word,13
161,mimicking,word,2
162,oxycodone,word,12
163,mixing,word,5
164,disguising,word,2
165,makes,word,13
166,difficult,word,14
167,determine,word,3
168,correct,word,2
169,treatment,word,60
170,case,word,8
171,resulting,word,13
172,attempt,word,4
173,reduce,word,12
174,number,word,38
175,taking,word,11
176,testing,word,13
177,kits,word,10
178,strips,word,9
179,labs,word,7
180,available,word,35
181,ease,word,3
182,manufacture,word,4
183,high,word,43
184,potency,word,7
185,easier,word,2
186,produce,word,18
187,smuggle,word,2
188,replacing,word,4
189,abused,word,4
190,becoming,word,6
191,intravenous,word,17
192,anesthesia,word,19
193,induce,word,6
194,given,word,29
195,sedativehypnotic,word,2
196,like,word,41
197,propofol,word,2
198,thiopental,word,2
199,euphoriant,word,2
200,maintain,word,5
201,inhaled,word,13
202,anesthetics,word,2
203,additional,word,14
204,minute,word,3
205,intervals,word,2
206,throughout,word,11
207,procedures,word,3
208,endoscopy,word,2
209,emergency,word,32
210,rooms,word,4
211,relief,word,8
212,surgery,word,8
213,decrease,word,9
214,amount,word,13
215,inhalational,word,2
216,anesthetic,word,2
217,needed,word,34
218,emergence,word,4
219,balancing,word,2
220,titrating,word,2
221,based,word,27
222,expected,word,6
223,stimuli,word,3
224,persons,word,9
225,responses,word,5
226,result,word,21
227,blood,word,46
228,pressure,word,22
229,heart,word,56
230,rate,word,33
231,procedure,word,7
232,faster,word,5
233,minimal,word,4
234,intrathecal,word,2
235,lipophilic,word,7
236,profile,word,3
237,allows,word,2
238,quick,word,5
239,onset,word,26
240,action,word,24
241,min,word,5
242,intermediate,word,5
243,duration,word,15
244,spinal,word,10
245,administration,word,48
246,hyperbaric,word,2
247,bupivacaine,word,2
248,optimal,word,2
249,combination,word,13
250,almost,word,7
251,immediate,word,12
252,reduces,word,5
253,visceral,word,2
254,discomfort,word,10
255,even,word,17
256,sometimes,word,19
257,intrathecally,word,2
258,part,word,30
259,epidurally,word,2
260,epidural,word,2
261,anaesthesia,word,5
262,analgesia,word,18
263,lipid,word,4
264,solubility,word,6
265,localized,word,3
266,clinicians,word,5
267,prefer,word,3
268,get,word,5
269,wider,word,10
270,spread,word,6
271,obstetrical,word,2
272,short,word,7
273,time,word,34
274,peak,word,9
275,minutes,word,30
276,rapid,word,18
277,termination,word,2
278,effect,word,36
279,single,word,7
280,dose,word,33
281,occurrence,word,2
282,relative,word,3
283,cardiovascular,word,11
284,stability,word,2
285,obstetrics,word,2
286,must,word,9
287,closely,word,4
288,regulated,word,6
289,prevent,word,12
290,large,word,22
291,amounts,word,4
292,transfer,word,2
293,mother,word,3
294,fetus,word,5
295,act,word,11
296,postnatal,word,2
297,stimulant,word,2
298,reason,word,9
299,shorteracting,word,2
300,agents,word,4
301,alfentanyl,word,2
302,remifentanil,word,6
303,suitable,word,2
304,context,word,4
305,inducing,word,3
306,general,word,18
307,bioavailability,word,3
308,intranasal,word,12
309,imprecision,word,2
310,due,word,43
311,clotted,word,2
312,nostrils,word,2
313,pharyngeal,word,2
314,swallow,word,2
315,incorrect,word,2
316,palliative,word,9
317,pecfent,word,2
318,safe,word,4
319,low,word,26
320,promising,word,3
321,painreducing,word,2
322,demonstrated,word,3
323,prospective,word,2
324,observational,word,2
325,study,word,18
326,outofhospital,word,2
327,children,word,27
328,useful,word,21
329,moderate,word,5
330,severe,word,22
331,well,word,50
332,tolerated,word,4
333,furthermore,word,7
334,suggested,word,10
335,efficacy,word,14
336,lozenges,word,6
337,young,word,10
338,five,word,13
339,weighing,word,2
340,little,word,11
341,inclined,word,2
342,child,word,8
343,control,word,19
344,sufficient,word,6
345,dosage,word,10
346,contrast,word,9
347,buccal,word,8
348,tablets,word,14
349,chronic,word,44
350,transdermal,word,27
351,patches,word,38
352,work,word,8
353,slowly,word,7
354,releasing,word,3
355,skin,word,21
356,bloodstream,word,3
357,hours,word,26
358,allowing,word,8
359,longlasting,word,3
360,size,word,12
361,patch,word,23
362,absorption,word,9
363,constant,word,6
364,temperature,word,9
365,changed,word,5
366,every,word,11
367,dependent,word,4
368,factors,word,20
369,body,word,25
370,type,word,11
371,fat,word,2
372,placement,word,2
373,major,word,20
374,different,word,23
375,systems,word,7
376,makers,word,2
377,affect,word,10
378,individual,word,9
379,rates,word,6
380,route,word,8
381,normal,word,13
382,circumstances,word,5
383,reach,word,8
384,full,word,6
385,within,word,32
386,thus,word,12
387,fastacting,word,2
388,handle,word,4
389,breakthrough,word,6
390,unclear,word,8
391,gives,word,5
392,longterm,word,6
393,people,word,94
394,neuropathic,word,4
395,sublingual,word,6
396,dissolves,word,2
397,quickly,word,9
398,absorbed,word,10
399,mucosa,word,3
400,provide,word,16
401,compound,word,7
402,sublingually,word,4
403,generally,word,23
404,forms,word,14
405,particularly,word,14
406,episodes,word,4
407,intensity,word,8
408,care,word,11
409,definitive,word,2
410,limited,word,9
411,role,word,10
412,using,word,26
413,careful,word,2
414,minimize,word,2
415,avoid,word,7
416,external,word,6
417,heat,word,2
418,sources,word,7
419,direct,word,14
420,sunlight,word,2
421,heating,word,4
422,pads,word,2
423,etc,word,4
424,trigger,word,6
425,release,word,25
426,much,word,21
427,potentially,word,8
428,deadly,word,4
429,complications,word,6
430,usaf,word,2
431,pararescue,word,2
432,combat,word,7
433,medics,word,2
434,afghanistan,word,5
435,lollipops,word,2
436,casualties,word,2
437,ied,word,2
438,blasts,word,2
439,trauma,word,3
440,stick,word,2
441,taped,word,2
442,finger,word,2
443,lozenge,word,6
444,put,word,6
445,cheek,word,4
446,person,word,24
447,enough,word,8
448,sedated,word,2
449,lets,word,3
450,lollipop,word,6
451,fall,word,3
452,mouth,word,12
453,indicating,word,3
454,somewhat,word,3
455,reducing,word,13
456,likelihood,word,2
457,associated,word,46
458,risks,word,5
459,help,word,16
460,relieve,word,7
461,shortness,word,45
462,breath,word,49
463,dyspnea,word,30
464,cannot,word,7
465,tolerate,word,2
466,whose,word,5
467,breathlessness,word,10
468,refractory,word,2
469,settings,word,6
470,need,word,11
471,treated,word,9
472,strong,word,8
473,nebulized,word,3
474,citrate,word,10
475,endoflife,word,2
476,hospice,word,2
477,routes,word,4
478,nasal,word,17
479,sprays,word,3
480,inhalers,word,8
481,levels,word,16
482,especially,word,23
483,higher,word,25
484,cost,word,9
485,appliances,word,2
486,justified,word,2
487,marginal,word,2
488,benefit,word,6
489,compared,word,20
490,oral,word,7
491,options,word,4
492,appears,word,8
493,equally,word,2
494,effective,word,15
495,superior,word,7
496,intramuscular,word,4
497,acute,word,50
498,hospital,word,11
499,patientcontrolled,word,2
500,system,word,37
501,pcts,word,4
502,development,word,10
503,aims,word,2
504,allow,word,6
505,treat,word,10
506,postoperative,word,7
507,technology,word,22
508,consists,word,6
509,preprogrammed,word,2
510,selfcontained,word,2
511,drugdelivery,word,2
512,uses,word,10
513,electrotransport,word,2
514,administer,word,6
515,ondemand,word,2
516,hydrochloride,word,3
517,ten,word,7
518,experiment,word,2
519,withdrew,word,2
520,inadequate,word,3
521,however,word,42
522,proved,word,3
523,placebo,word,6
524,showing,word,6
525,lower,word,11
526,mean,word,6
527,vas,word,2
528,scores,word,2
529,significant,word,16
530,common,word,44
531,include,word,66
532,vomiting,word,7
533,dry,word,5
534,somnolence,word,2
535,asthenia,word,2
536,weakness,word,3
537,less,word,33
538,frequently,word,12
539,abdominal,word,9
540,headache,word,6
541,fatigue,word,8
542,anorexia,word,2
543,weight,word,8
544,dizziness,word,6
545,nervousness,word,2
546,anxiety,word,47
547,flulike,word,2
548,symptoms,word,65
549,dyspepsia,word,2
550,indigestion,word,2
551,hypoventilation,word,2
552,apnoea,word,2
553,urinary,word,4
554,retention,word,3
555,aphasia,word,2
556,despite,word,9
557,tends,word,3
558,histaminemediated,word,2
559,itching,word,2
560,rare,word,4
561,cases,word,22
562,serotonin,word,14
563,syndrome,word,22
564,existing,word,5
565,studies,word,18
566,advise,word,2
567,practitioners,word,2
568,exercise,word,9
569,caution,word,4
570,combining,word,5
571,selective,word,10
572,reuptake,word,8
573,inhibitor,word,4
574,ssri,word,3
575,underestimated,word,2
576,leading,word,24
577,harm,word,11
578,food,word,11
579,fda,word,10
580,began,word,7
581,investigating,word,4
582,several,word,31
583,doctors,word,2
584,kingdom,word,8
585,warned,word,4
586,september,word,7
587,april,word,8
588,twelve,word,5
589,died,word,7
590,become,word,14
591,seriously,word,2
592,ill,word,2
593,separate,word,6
594,accidental,word,10
595,exposures,word,4
596,dangerous,word,10
597,decreased,word,15
598,sensitivity,word,4
599,carbon,word,4
600,dioxide,word,4
601,reduced,word,15
602,breathing,word,42
603,anoxic,word,2
604,brain,word,35
605,injury,word,12
606,risk,word,61
607,airway,word,4
608,secured,word,2
609,endotracheal,word,2
610,tube,word,3
611,specific,word,16
612,groups,word,10
613,obstructive,word,5
614,sleep,word,47
615,apnea,word,3
616,increase,word,30
617,sustained,word,4
618,preparations,word,4
619,unexpected,word,4
620,delayed,word,4
621,precise,word,2
622,sudden,word,10
623,hypotheses,word,2
624,another,word,24
625,related,word,17
626,complication,word,2
627,includes,word,12
628,socalled,word,2
629,wooden,word,10
630,chest,word,35
631,induces,word,4
632,complete,word,6
633,failure,word,66
634,paralyzing,word,2
635,thoracic,word,5
636,muscles,word,15
637,explained,word,2
638,detail,word,2
639,section,word,3
640,boluses,word,2
641,administered,word,13
642,vocal,word,3
643,cords,word,2
644,make,word,14
645,bagmask,word,2
646,ventilation,word,9
647,exact,word,6
648,mechanism,word,8
649,unknown,word,6
650,prevented,word,3
651,neuromuscular,word,2
652,blockers,word,2
653,prominent,word,2
654,idiosyncratic,word,2
655,diaphragm,word,3
656,seen,word,21
657,believed,word,12
658,main,word,17
659,reversed,word,5
660,caused,word,21
661,noradrenaline,word,3
662,activates,word,3
663,adrenergic,word,2
664,possibly,word,4
665,via,word,20
666,activation,word,2
667,cholinergic,word,2
668,unique,word,4
669,powerful,word,2
670,opioidswhich,word,2
671,today,word,9
672,comprise,word,2
673,analogswhile,word,2
674,lesspowerful,word,2
675,mild,word,5
676,lesser,word,2
677,degree,word,6
678,many,word,53
679,users,word,15
680,adopting,word,2
681,folded,word,4
682,posture,word,2
683,daniel,word,3
684,ciccarone,word,2
685,ucsf,word,2
686,said,word,14
687,calls,word,3
688,nod,word,2
689,later,word,18
690,notes,word,2
691,nods,word,4
692,always,word,5
693,happened,word,4
694,varying,word,2
695,degrees,word,3
696,seem,word,3
697,extreme,word,4
698,sign,word,4
699,taken,word,16
700,fold,word,3
701,falls,word,3
702,umbrella,word,2
703,deformity,word,2
704,functional,word,6
705,disability,word,2
706,drive,word,3
707,mental,word,10
708,anguish,word,2
709,factor,word,4
710,socioeconomic,word,2
711,status,word,15
712,fragile,word,2
713,typically,word,19
714,nonusers,word,2
715,poses,word,3
716,exceptionally,word,2
717,humans,word,9
718,required,word,10
719,toxicity,word,6
720,unpredictable,word,5
721,attributed,word,6
722,solely,word,4
723,occur,word,21
724,serum,word,9
725,concentrations,word,11
726,gml,word,4
727,range,word,8
728,contexts,word,3
729,polysubstance,word,2
730,approximately,word,8
731,ngml,word,4
732,greater,word,10
733,fatalities,word,4
734,involved,word,9
735,least,word,12
736,one,word,68
737,clear,word,8
738,correlation,word,3
739,level,word,17
740,mixtures,word,6
741,fatal,word,14
742,dosages,word,4
743,varied,word,2
744,three,word,10
745,magnitudes,word,2
746,extremely,word,9
747,volatility,word,2
748,name,word,29
749,completely,word,5
750,partially,word,3
751,july,word,12
752,products,word,15
753,regulatory,word,2
754,agency,word,5
755,mhra,word,2
756,issued,word,16
757,warning,word,7
758,potential,word,9
759,lifethreatening,word,7
760,exposure,word,20
761,advised,word,4
762,adhesive,word,2
763,discarded,word,3
764,kept,word,4
765,away,word,4
766,analogs,word,8
767,previous,word,9
768,four,word,16
769,years,word,20
770,increases,word,14
771,involve,word,2
772,illicitly,word,14
773,made,word,15
774,public,word,14
775,issue,word,2
776,concern,word,9
777,canada,word,22
778,province,word,3
779,british,word,21
780,columbia,word,10
781,averaged,word,2
782,two,word,37
783,day,word,10
784,overdoserelated,word,2
785,january,word,9
786,started,word,6
787,way,word,8
788,manufactured,word,12
789,benzodiazepines,word,7
790,contamination,word,3
791,methamphetamine,word,7
792,ketamine,word,3
793,mdma,word,6
794,kilogram,word,5
795,laced,word,2
796,sell,word,4
